Kennzeichen,Beispiel
SJA,Kippschalter
SJA,. 
SJA,Schalter mit zwei Stellungen
SJB,Fingerinteraktionsgerät zum Drücken
SJB,Druckknopf
SJB,"Druck steht für: Druck , eine physikalische Größe eine geistige Belastung, siehe Stress eine Taste auf Computertastaturen, siehe Druck-Taste Druck , deutsche Jugend-Webseriein der Reproduktionstechnik:. Ein Knopf ist ein kleiner, fester, meist runder Gegenstand an Kleidungsstücken. "
SJB,Niederhalter
SJB,"Nieder ist der Familienname folgender Personen: Adolf Nieder , deutscher Bildhauer Bill Nieder , US-amerikanischer Leichtathlet Fabio Nieder , Komponist zeitgenössischer Musik, Dirigent und Pianist. Halter steht für: Halter, Besitzer der Verfügungsgewalt über ein Kraftfahrzeug, siehe Fahrzeughalter Halter, eigenverantwortliche Sorge für ein Tier, siehe Tierhaltung Halter, Kuhhirt auf einer Alm,. "
SJB,Tastatur
SJB,"Eine Tastatur ist ein peripheres Eingabegerät nach dem Vorbild der Schreibmaschinentastatur, das als Bedien- und Steuerelement eine Anzahl von mit den Fingern zu drückenden Knöpfen. "
SJB,Druckschalter
SJB,"Druck steht für: Druck , eine physikalische Größe eine geistige Belastung, siehe Stress eine Taste auf Computertastaturen, siehe Druck-Taste Druck , deutsche Jugend-Webseriein der Reproduktionstechnik:. Schalter bezeichnet: Schalter , mechanisch betätigtes elektrisches Bauelement elektronischer Schalter, Halbleiter-Bauelement Boolesche Variable, in der Digitaltechnik und Logik ein mehr oder minder komplexer Boolescher Wert. "
SJC,Fingerinteraktionsgerät zum Berühren
SJC,Druckbetätiger
SJC,Schalter mit zwei Stellungen
SJC,Touchpad
SJC,"Touch oder touch steht für: Touch , Album der Band Eurythmics Touch , US-amerikanische Band Touch , US-amerikanische Fernsehserie aus dem Jahr 2012 Touch ,. Pad steht für: Mauspad, eine Unterlage für Computermäuse Gamepad für die Steuerung von Computerspielen Touchpad oder Tastfeld, eine berührungsempfindliche Fläche als Zeige-Eingabeinterface Etherpad, ein webbasierter. "
SJD,Fingerinteraktionsgerät mit Drehrad zum Drehen nach vorn oder hinten
SJD,Drehrad
SJD,"Dreh steht umgangssprachlich für: Dreharbeiten im Film Einfall, Kunstgriff zum Problemlösen DrehungSiehe auch: Dre Drée. Das Rad ist ein scheibenförmiger Gegenstand mit idealerweise kreisförmiger Kontur, der um eine Achse, die senkrecht auf der idealisierten Kreisebene steht, drehbar gelagert ist und. "
SK,Manuelles Interaktionsobjekt zum Bewegen bzw. Positionieren
SK,Bewegungsinteraktionsgerät
SK,"Bewegung steht für: Bewegung , Ortsveränderung mit der Zeit Bewegung , Positions- und Lageveränderungen von Gelenken Bewegung , affine Drehung oder Drehspiegelung im Raum Bewegung. Sinter ist die Substanz bzw. "
SKA,Bewegungsinteraktionsgerät mit beschränkten Positionierungsund Auswahlvorgängen
SKA,Joystick
SKA,"Joy steht für: Joy , eine funktionale Programmiersprache Joy , österreichische Popgruppe Joy , Einschlagskrater auf dem Mond Joy , deutsche Frauenzeitschrift Joy, die Hauptperson. Tick ist: der deutsche Name einer Comicfigur von Walt Disney, siehe Bewohner von Entenhausen ein unwillkürliches Verhalten, die korrekte Schreibweise lautet Tic umgangssprachlich eine bestimmte. "
SKA,Kugelmaus
SKA,Eine Kugel ist in der Geometrie die Kurzbezeichnung für Kugelfläche oder Kugelkörper. Maus steht für: generell und vor allem historisch die Bezeichnung für zahlreiche Kleinsäuger speziell ein Nagetier aus der Überfamilie der Mäuseartigen meistens aus der Familie. 
SKB,Bewegungsinteraktionsgerät mit unbeschränkten Positionierungs und Auswahlvorgängen
SKB,Maus
SKB,Maus steht für: generell und vor allem historisch die Bezeichnung für zahlreiche Kleinsäuger speziell ein Nagetier aus der Überfamilie der Mäuseartigen meistens aus der Familie. 
SKB,Lichtstift
SZ,Objekt zur menschlichen Interaktion mit mehreren Interaktionsmitteln
SZ,Mehrfachinteraktionsgerät
SZA,"Mehrfachinteraktionsgerät, das manuelle Mittel einbezieht"
SZA,Bedienfeld
SZA,"Feld steht für: eine Fläche in Spiel und Sport, das Spielfeld eine landwirtschaftliche Fläche für den Anbau von Nutzpflanzen, siehe Acker Bereich der nicht ionisierenden. "
SZA,Gamepad
SZA,"Game steht für: Computerspiel ein Begriff aus der Zahlentheorie, siehe Surreale Zahl #Verallgemeinerung: Gamesgame steht für: game – Verband der deutschen Games-Branche, deutscher Computer- und. Pad steht für: Mauspad, eine Unterlage für Computermäuse Gamepad für die Steuerung von Computerspielen Touchpad oder Tastfeld, eine berührungsempfindliche Fläche als Zeige-Eingabeinterface Etherpad, ein webbasierter. "
SZA,Gamecontroller
SZA,"Game steht für: Computerspiel ein Begriff aus der Zahlentheorie, siehe Surreale Zahl #Verallgemeinerung: Gamesgame steht für: game – Verband der deutschen Games-Branche, deutscher Computer- und. Der Begriff Controller wird in folgenden Bereichen verwendet: als Berufsbezeichnung, siehe Controlling im Bereich von Hardware für Computer zur Steuerung oder Regelung, siehe Controller Eingabegerät. "
SZA,Joypad
SZA,"Joy steht für: Joy , eine funktionale Programmiersprache Joy , österreichische Popgruppe Joy , Einschlagskrater auf dem Mond Joy , deutsche Frauenzeitschrift Joy, die Hauptperson. Pad steht für: Mauspad, eine Unterlage für Computermäuse Gamepad für die Steuerung von Computerspielen Touchpad oder Tastfeld, eine berührungsempfindliche Fläche als Zeige-Eingabeinterface Etherpad, ein webbasierter. "
TA,Transformierobjekt für elektrische Energie bei Beibehaltung von Wechsel oder Gleichstrom
TA,Stromtransformierendes Objekt
TAA,Stromtransformierendes Objekt zum Wechsel von Wechselstrom zu Wechselstrom ohne Veränderung der Frequenz
TAA,Transformator
TAA,Ein Transformator ist ein Bauelement der Elektrotechnik. 
TAA,Trenntransformator
TAA,. Ein Transformator ist ein Bauelement der Elektrotechnik. 
TAB,Stromtransformierendes Objekt zum Wechsel von Gleichstrom zu Gleichstrom
TAB,Gleichspannungswandler
TAB,"Eine Gleichspannung ist eine elektrische Spannung, deren Augenblickswert sich über einen längeren Betrachtungszeitraum nicht ändert. Wandler ist der Oberbegriff für Baugruppen oder Bauelemente, die eine Energieform in eine andere Energieform umwandeln oder aber den Wert einer physikalischen Größe in einen. "
TAC,Stromtransformierendes Objekt zum Wechsel von Wechselstrom zu Wechselstrom mit Veränderung der Frequenz
TAC,Frequenzumrichter
TAC,"Die Frequenz ist in Physik und Technik ein Maß dafür, wie schnell bei einem periodischen Vorgang die Wiederholungen aufeinander folgen, z. Umrichter, auch als Wechselstrom-Umrichter und in Anlehnung an den englischen Begriff auch als AC/AC-Konverter bezeichnet, generieren aus einer Wechselspannung eine in Frequenz und Amplitude verschiedene. "
TAC,Kraftantrieb
TAD,Stromtransformierendes Objekt zum Wechsel von Wechselstrom zu Wechselstrom mit Veränderung des Winkels zwischen Spannungen und Strömen
TAD,Phasenschieber
TAD,"Phase steht für: Phase , räumlicher Bereich mit gleichartigen physikalischen und chemischen Eigenschaften Phasenwinkel, die aktuelle Position im Ablauf eines periodischen Vorgangs Ursprungswinkel einer komplexen. . Eber, beim Hausschwein insbesondere oberdeutsch Saubär, beim Wildschwein Keiler, bezeichnet das männliche Geschlecht des Schweins. "
TB,Transformierobjekt für elektrische Energie mit Änderung zwischen Wechsel und Gleichstrom
TB,Stromkonvertierungsobjekt
TB,"Strom steht für Physik und Technik: einen gerichteten Transport, siehe Strom Elektrischer StromGewässerkunde: Strom : größerer Fluss, der ins offene Meer mündet Meeresströmung: Massenbewegung im. . Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
TBA,Stromkonvertierungsobjekt zum Konvertieren von Wechselstrom zu Gleichstrom
TBA,Stromrichter
TBA,"Strom steht für Physik und Technik: einen gerichteten Transport, siehe Strom Elektrischer StromGewässerkunde: Strom : größerer Fluss, der ins offene Meer mündet Meeresströmung: Massenbewegung im. Ein Richter oder eine Richterin ist der Inhaber eines öffentlichen Amtes bei einem Gericht, der Aufgaben der Judikatur wahrnimmt. "
TBA,Stromversorgung
TBA,"Strom steht für Physik und Technik: einen gerichteten Transport, siehe Strom Elektrischer StromGewässerkunde: Strom : größerer Fluss, der ins offene Meer mündet Meeresströmung: Massenbewegung im. Versorgung bezeichnet: juristisch: Leistungen, welche die Lebensgrundlage einer Person sichern, siehe Versorgungsrecht ökonomisch: Subsistenz, Subsistenzwirtschaft, Selbstversorgung, Autarkie – im weitesten Sinne jegliches Wirtschaften in der. "
TBB,Stromkonvertierungsobjekt zum Konvertieren von Gleichstrom zu Wechselstrom
TBB,Wechselrichter
TBB,"Wechsel steht für: Veränderung Wechsel , Arbeitsmethoden Wechsel , ein Wertpapier kurz für Wechseljahre der Frau das Wechseln von Spielern beim Mannschaftssport, siehe Auswechslung eine. Ein Richter oder eine Richterin ist der Inhaber eines öffentlichen Amtes bei einem Gericht, der Aufgaben der Judikatur wahrnimmt. "
TBB,Stromversorgung
TBB,"Strom steht für Physik und Technik: einen gerichteten Transport, siehe Strom Elektrischer StromGewässerkunde: Strom : größerer Fluss, der ins offene Meer mündet Meeresströmung: Massenbewegung im. Versorgung bezeichnet: juristisch: Leistungen, welche die Lebensgrundlage einer Person sichern, siehe Versorgungsrecht ökonomisch: Subsistenz, Subsistenzwirtschaft, Selbstversorgung, Autarkie – im weitesten Sinne jegliches Wirtschaften in der. "
TBC,Stromkonvertierungsobjekt zum Konvertieren von Wechsel zu Gleichstrom oder von Gleichstrom zu Wechselstrom
TBC,Doppeltgerichteter Konverter
TC,Transformierobjekt für elektrische Energie von Wechsel und Gleichstrom zu Wechselstrom oder Gleichstrom
TC,Universelle Stromversorgung
TCA,Universelle Stromversorgung für Wechselstrom
TCA,Universelle wechselsstromversorgung
TCA,Stromversorgung
TCA,"Strom steht für Physik und Technik: einen gerichteten Transport, siehe Strom Elektrischer StromGewässerkunde: Strom : größerer Fluss, der ins offene Meer mündet Meeresströmung: Massenbewegung im. Versorgung bezeichnet: juristisch: Leistungen, welche die Lebensgrundlage einer Person sichern, siehe Versorgungsrecht ökonomisch: Subsistenz, Subsistenzwirtschaft, Selbstversorgung, Autarkie – im weitesten Sinne jegliches Wirtschaften in der. "
TCB,Universelle Stromversorgung für Gleichstrom
TCB,Universelle Gleichstromversorgung
TCB,Stromversorgung
TCB,"Strom steht für Physik und Technik: einen gerichteten Transport, siehe Strom Elektrischer StromGewässerkunde: Strom : größerer Fluss, der ins offene Meer mündet Meeresströmung: Massenbewegung im. Versorgung bezeichnet: juristisch: Leistungen, welche die Lebensgrundlage einer Person sichern, siehe Versorgungsrecht ökonomisch: Subsistenz, Subsistenzwirtschaft, Selbstversorgung, Autarkie – im weitesten Sinne jegliches Wirtschaften in der. "
TF,Transformierobjekt für Signale
TF,Signalkonvertierungsobjekt
TF,"Ein Signal ist ein Zeichen mit einer bestimmten Bedeutung, die das Signal durch Verabredung oder durch Vorschrift erhält. . Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
TFA,Signalkonvertierungsobjekt zum Beibehalten der Signalform
TFA,Verstärker
TFA,"Das Wort Verstärker steht für: ein Gerät zur Verstärkung und Weitergabe eines eingehenden elektrischen Signals, siehe Verstärker einen Reiz, der als Konsequenz eines bestimmten Verhaltens. "
TFB,Signalkonvertierungsobjekt zwischen verdrahteter und unverdrahteter Form
TFB,Signalantenne
TFB,"Ein Signal ist ein Zeichen mit einer bestimmten Bedeutung, die das Signal durch Verabredung oder durch Vorschrift erhält. Eine Antenne ist eine technische Anordnung zur Abstrahlung und zum Empfang elektromagnetischer Wellen, oft zur drahtlosen Kommunikation. "
TFB,Antenne
TFB,"Eine Antenne ist eine technische Anordnung zur Abstrahlung und zum Empfang elektromagnetischer Wellen, oft zur drahtlosen Kommunikation. "
TFB,Funkantenne
TFB,"Funk steht für: Funk , Familienname, zu Namensträgern siehe dort Funk , Musikstil Funk , Schweizer Familie funk , Netzwerk von ARD und ZDF Funk. Eine Antenne ist eine technische Anordnung zur Abstrahlung und zum Empfang elektromagnetischer Wellen, oft zur drahtlosen Kommunikation. "
TFB,induktivesignalantenne
TFB,"Eine Antenne ist eine technische Anordnung zur Abstrahlung und zum Empfang elektromagnetischer Wellen, oft zur drahtlosen Kommunikation. "
TFB,IR Diode
TFB,IR Sender
TFB,Oszillator
TFB,"Tor steht für: Thor oder Tor , nordischer Vorname Tor , Öffnung in einem Gebäude, einer Mauer oder einem Zaun Tor , Wappenfigur in der. "
TFB,RF Signalantenne
TFC,Signalkonvertierungsobjekt zwischen zwei verdrahteten Formen
TFC,Signalumformer
TFC,"Ein Signal ist ein Zeichen mit einer bestimmten Bedeutung, die das Signal durch Verabredung oder durch Vorschrift erhält. Ein Umformer ist in der elektrischen Energietechnik eine mechanische Kombination von rotierenden elektrischen Maschinen, die eine Stromart in eine andere, beispielsweise Gleichstrom in Wechselstrom, überführt. "
TFC,Optokoppler
TFC,Ein Optokoppler ist ein Bauelement der Optoelektronik und dient zur Übertragung eines Signals zwischen zwei galvanisch getrennten Stromkreisen. 
TFC,Umformer
TFC,"Ein Umformer ist in der elektrischen Energietechnik eine mechanische Kombination von rotierenden elektrischen Maschinen, die eine Stromart in eine andere, beispielsweise Gleichstrom in Wechselstrom, überführt. "
TFD,Signalkonvertierungsobjekt zwischen einer elektrischen und optischen Form
TFD,Optischer empfänger/messwertgeber
TFE,Signalkonvertierungsobjekt zwischen Schallwellen und elektrischen Signalen
TFE,Telefon
TFE,"Ein Telefon, in älterer Schreibung Telephon , auch Fernsprechapparat oder Fernsprecher genannt, ist ein Kommunikationsmittel zur Übermittlung von Tönen und speziell von Sprache mittels elektrischer. "
TFE,Handy
TFE,. 
TFE,Mobiltelefon
TFE,"Ein Mobiltelefon, im deutschsprachigen Raum auch Handy, früher auch Funktelefon, Antennentelefon oder GSM-Telefon , in der Schweiz auch Natel genannt, ist ein tragbares Telefon, das. "
TFE,Telefon
TFE,"Ein Telefon, in älterer Schreibung Telephon , auch Fernsprechapparat oder Fernsprecher genannt, ist ein Kommunikationsmittel zur Übermittlung von Tönen und speziell von Sprache mittels elektrischer. "
TL,Transformierobjekt für mechanische Energie
TL,Objekt zum Transformieren von mechanischer Energie
TLA,Objekt zum Transformieren von mechanischer Energie zur Veränderung der Geschwindigkeit
TLA,Getriebe
TLA,"Ein Getriebe ist ein Maschinenelement, mit dem Bewegungsgrößen geändert werden können. "
TLA,Automatikgetriebe
TLA,". Ein Getriebe ist ein Maschinenelement, mit dem Bewegungsgrößen geändert werden können. "
TLA,Regelkupplung
TLA,"Regel steht für: Regel , in Übereinkunft festgelegt Spielregel bei Gesellschaftsspielen, als Kurzform Wettkampfregel im Sport, als Kurzform umgangssprachlich die MenstruationRegel ist der Familienname folgender. Eine Kupplung ist ein Maschinenelement zur starren, elastischen, beweglichen oder lösbaren Verbindung zweier Wellen. "
TLA,Schaltgetriebe
TLA,. 
TLA,Drehzahlwandler
TLA,"Die Drehzahl ist eine Größe, die bei – vorzugsweise mechanischen – Drehbewegungen die Anzahl der Umdrehungen in einer Zeitspanne bezogen auf diese Zeitspanne angibt. Wandler ist der Oberbegriff für Baugruppen oder Bauelemente, die eine Energieform in eine andere Energieform umwandeln oder aber den Wert einer physikalischen Größe in einen. "
TLB,Objekt zum Transformieren von mechanischer Energie zur Veränderung des Drehmoments
TLB,Drehmomentwandler
TLB,"Dreh steht umgangssprachlich für: Dreharbeiten im Film Einfall, Kunstgriff zum Problemlösen DrehungSiehe auch: Dre Drée. Der bzw. Wandler ist der Oberbegriff für Baugruppen oder Bauelemente, die eine Energieform in eine andere Energieform umwandeln oder aber den Wert einer physikalischen Größe in einen. "
TLC,Objekt zum Transformieren von mechanischer Energie zur Veränderung der Kraft
TLC,Hebel
TLC,"Hebel steht für: Hebel , ein mechanisches Kraftübertragungssystem, meist verwendet als einfaches Maschinenelement Hebel , eine Technik im Kampfsport Hebel , eine Stellung beim Schachspiel. "
TM,Transformierobjekt für Materie durch Massereduktion
TM,Massereduktionsobjekt
TM,"Masse steht für: Masse , Ursache von Gravitation, Trägheit und Raumkrümmung Masse , große Ansammlung von Menschen Masse , Leseabschnitt der Tora Masse , elektrisches. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
TMA,Massereduktionsobjekt für mechanische Prozesse
TMA,Bohrmaschine
TMA,"Bohr ist der Familienname folgender Personen: Aage Niels Bohr , dänischer Physiker, Nobelpreisträger Beate Bohr , deutsche Schauspielerin, Sprecherin und Kabarettistin Christian Bohr , dänischer. Eine Maschine ist ein technisches Gebilde mit durch ein Antriebssystem bewegten Teilen. "
TMA,Bohrer
TMA,"Ein Bohrer oder Bohrwerkzeug, bei Verwendung in einer Bohrmaschine auch Bohreinsatz, ist ein Werkzeug, mit dem durch drehende Bewegung Löcher in festem Material hergestellt werden. "
TMA,Schleifmaschine
TMA,Schleifmaschinen sind ursprünglich mittels Hand oder Fuß angetriebene Werkzeuge zum Glätten von Oberflächen oder zum Entfernen von Beschichtungen auf Oberflächen. 
TMA,Stanzmaschine
TMA,"Stan steht für Stan , eine Siedlung in der Gemeinde Mirna in Slowenien Stan , männlicher Vor- und Kosename Stan , ein Lied des US-amerikanischen. "
TMA,Säge
TMA,"Die Säge ist ein Werkzeug oder eine Werkzeugmaschine zum spanenden Trennen von Holz, Naturstein, Metall, Kunststoff und anderen festen Materialien. "
TMA,Drehmaschine
TMA,"Dreh steht umgangssprachlich für: Dreharbeiten im Film Einfall, Kunstgriff zum Problemlösen DrehungSiehe auch: Dre Drée. Eine Maschine ist ein technisches Gebilde mit durch ein Antriebssystem bewegten Teilen. "
TMB,Massereduktionsobjekt für thermische Prozesse
TMB,Thermische Trennvorrichtung
TMB,Elektronenentladungs Sägemaschine
TMB,Gasschneidemaschine
TMB,"Neben fest und flüssig ist gasförmig einer der drei klassischen Aggregatzustände. Schneid ist der Name folgender Berge: Schneid , auch Schneidspitze und Schneide, Berg in den Tannheimer Bergen bei Reutte, Bezirk Reutte, Tirol Seebergschneid , Nebengipfel. Eine Maschine ist ein technisches Gebilde mit durch ein Antriebssystem bewegten Teilen. "
TMB,Plasmabogen Schneidemaschine
TMC,Massereduktionsobjekt für chemische Prozesse
TMC,Ätzmaschine
TMC,chemisches Eintauchgerät
TMC,chemisches Sprühgerät
TP,Transformierobjekt für Materie durch Formänderung
TP,Materieumformungsobjekt
TP,"Materie ist der Oberbegriff für alles, was Raum einnimmt und Gewicht hat. . Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
TPA,Materieumformungsobjekt zum Schmieden
TPA,Schmiedemaschine
TPA,"Schmied ist die Berufs- und Handwerksbezeichnung für Personen, die Metall durch Schmieden bearbeiten. Eine Maschine ist ein technisches Gebilde mit durch ein Antriebssystem bewegten Teilen. "
TPA,Kalteschmiedemaschine
TPA,Eine Maschine ist ein technisches Gebilde mit durch ein Antriebssystem bewegten Teilen. 
TPA,Warmschmiedemaschine
TPA,. Eine Maschine ist ein technisches Gebilde mit durch ein Antriebssystem bewegten Teilen. 
TPB,Materieumformungsobjekt zum Extrudieren
TPB,Strangpresse
TPB,. 
TPC,Materieumformungsobjekt zum Ziehen
TPC,Drahtziehmaschine
TPC,"Draht ist in der Regel ein dünn und lang geformtes, biegsames Metall mit oft kreisförmigem Querschnitt. "
TPC,Rohrziehmaschine
TPC,"Rohr bezeichnet: Rohr , länglicher Hohlkörper Lauf , umgangssprachlich Backofen, in Teilen Deutschlands und Österreichs Rohr , einkeimblättrige Pflanze mit langem Halm, Stängel, beziehungsweise Stamm. "
TPD,Materieumformungsobjekt durch Rollen oder Walzen
TPD,Walzmaschine
TPD,Walz ist ein deutscher Familienname. Eine Maschine ist ein technisches Gebilde mit durch ein Antriebssystem bewegten Teilen. 
TPD,Rändelmaschine
TPD,Blechwalze
TPD,Schermaschine
TPD,"Schermaschine bezeichnet: eine Haarschneidemaschine zum Trimmen von Haaren an Mensch und Tier eine Maschine in der Textilindustrie zum Entfernen herausstehender Fasern, siehe Schermaschine eine Werkzeugmaschine. "
TPD,Gewindeerzeugungsmaschine
TPD,"Das Gewinde ist eine profilierte Einkerbung, die fortlaufend wendelartig in einer zylinderförmigen Innen- oder Außenwand verläuft. Eine Maschine ist ein technisches Gebilde mit durch ein Antriebssystem bewegten Teilen. "
TPE,Materieumformungsobjekt zum Biegen
TPE,Biegemaschine
TPE,"Eine Biegemaschine im engeren Sinne ist eine umformende Werkzeugmaschine , deren Zweck es ist, Biegungen an einem Werkstück herzustellen. "
TPE,Bördelmaschine
TPE,"Bord steht für: das Bord: ein einzelnes Regalbrett oder eine Abstellfläche, siehe Regal der Bord: Bord , das Heroldsbild einer Schildumrandung die bauliche Einfassung einer. "
TPE,Verschließmaschine
TPF,Materieumformungsobjekt zum Erzeugen einer hohen Energierate
TPF,Elektromagnetische umformmaschine
TPF,elektrohydraulische Umformmaschine
TPF,Explosionsumformmaschine
TPF,"Eine Explosion ist der physikalische exponentiell mitgekoppelte Vorgang des Freisetzens großer Energiemengen, im Allgemeinen in Form von Temperatur-, Druck- und Bewegungsenergie. Eine Maschine ist ein technisches Gebilde mit durch ein Antriebssystem bewegten Teilen. "
TR,Transformierobjekt für Strahlung durch Photosynthese
TR,Pflanze
TRA,Pflanze mit einem einzelnen hölzernen Stamm
TRA,Baum
TRA,"Als Baum wird im allgemeinen Sprachgebrauch eine verholzte Pflanze verstanden, die aus einer Wurzel, einem daraus emporsteigenden, hochgewachsenen Stamm und einer belaubten Krone besteht. "
TRB,Pflanze mit mehreren hölzernen Stämmen
TRB,Strauch
TRB,Als Strauch wird eine Wuchsform von Pflanzen bezeichnet. 
TRB,Busch
TRB,"Busch bezeichnet: Strauch, eine Wuchsform von Pflanzen eine besonders kleine Zuchtform für Obstbäume, siehe Zuchtform Buschland, mehr oder minder locker gehölzbestandenes Gelände Dschungel und Dornstrauchsavanne,. "
TRC,Pflanze mit langen Trieben und Kletterorganen
TRC,Ranker
TRD,"Pflanze, die nicht hölzern oder nur geringfügig hölzern ist"
TRD,Kraut
TRD,"Das Kraut steht für: Krautige Pflanze, deren oberirdische Teile nicht verholzen Staude, im Gartenbau: nicht verholzende, aber meist grobfasrige krautige Pflanze Küchenkraut, zum Verzehr oder. "
TRD,Blume
TRD,"Eine Blume bezeichnet entweder eine Pflanze, die größere, ins Auge fallende Blüten „hervorbringt“, oder eine „einzelne Blüte einer Blume mit Stiel“. "
TRD,Gras
TRD,. 
TRD,Gemüsepflanze
TRD,. 
UA,Halteobjekt zur Fixierung in einer bestimmten Position
UA,Positionierobjekt
UA,"Position bezeichnet: den Ort eines Punktes auf der Erdoberfläche oder im Raum, siehe Standort die Koordinaten eines Punktes, siehe Koordinatensystem und Ortsbestimmung Soziale Position, den. Der Ier ist ein Fluss in Siebenbürgen in Rumänien und in Ostungarn. Objekt steht für: Sache Gegenstand Rechtsobjekt Wirtschaftsobjekt entmenschlichtes Wesen, siehe Objektifizierung Objekt , ein grammatikalisches Satzglied Objekt , philosophisches Konzept ein mathematisches Objekt Objekt ,. "
UAA,Positionierobjekt für Leiter
UAA,Isolator
UAA,"Isolator steht für: Isolator , ein Bauteil, das zur Befestigung von Freileitungen und Oberleitungen verwendet wird Nichtleiter, einen Stoff, in dem elektrischer Strom praktisch nicht. "
UAB,Positionierobjekt für Kabel
UAB,Kabelverschraubung
UAB,"Als Kabel wird in der Elektro- und Informationstechnik allgemein ein mit Isolierstoffen ummantelter ein- oder mehradriger Verbund von Adern bezeichnet, welcher der Übertragung von Energie. Eine Verschraubung dient dem Verbinden von Einzelteilen mit Innen- und Aussengewinde. "
UAB,Kabelzugang
UAB,"Als Kabel wird in der Elektro- und Informationstechnik allgemein ein mit Isolierstoffen ummantelter ein- oder mehradriger Verbund von Adern bezeichnet, welcher der Übertragung von Energie. Zugang ist ein Rechtsbegriff, der die Rechtswirksamkeit empfangsbedürftiger Willenserklärungen beschreibt. "
UAB,Kabeleingang
UAB,"Als Kabel wird in der Elektro- und Informationstechnik allgemein ein mit Isolierstoffen ummantelter ein- oder mehradriger Verbund von Adern bezeichnet, welcher der Übertragung von Energie. Eingang steht für: die Öffnung in einem Gebäude oder Zimmer, durch welche diese betreten werden können, siehe Erschließung den Anschluss als Schnittstelle Eingang , ein. "
UAC,Positionierobjekt für Lichtquellen
UAC,Beleuchtungskörper
UAC,"Der Begriff Beleuchtung bezeichnet die Lichterzeugung mithilfe einer künstlichen Lichtquelle sowie die folgende Sichtbarmachung von Objekten, die nicht selbst leuchten. Körper steht für: Körper, allgemein für Hauptteil, Füllstoff, Grundmasse, Raumumfang eines realen Gegenstands Körper, materiell erscheinende Gestalt eines Menschen, siehe menschlicher Körper Körper , materielle. "
UAC,Leuchte
UAC,"Leu steht für: Löwe Moldauischer Leu, Währung der Republik Moldau Rumänischer Leu, Währung Rumäniens roter Leu, siehe Quecksilber-oxidLeu ist der Familienname folgender Personen: Al’Leu ,. "
UAD,Positionierobjekt für Tritte
UAD,Treppenwange
UAD,"Eine Treppe ist ein aus Stufen gebildeter Auf- oder Abgang, der es ermöglicht, Höhenunterschiede bequem und trittsicher zu überwinden. Wange , anatomisch auch Backe , bezeichnet einen Teil des Gesichts zwischen Jochbein und Unterkiefer. "
UAD,Flansch
UAD,"Ein Flansch ist eine ringförmige Scheibe, mit deren Hilfe Rohrleitungen miteinander verbunden werden. "
UAE,Positionierobjekt für Abdeckungen
UAE,Latte
UAE,"Latte steht für: Latte, langes, rechteckiges Holzstück; siehe Schnittholz Latte , historisches französisches Längenmaß abkürzend das Kaffeegetränk Latte macchiato oberer Balken eines Fußballtors; siehe Tor. "
UAF,Positionierobjekt für Pflanzen
UAF,Pflock
UAF,"Ein Pflock ist ein oft an einem Ende zugespitztes, meist zylindrisches Stück Holz. "
UAF,Spalier
UAF,"Ein Spalier ist eine meist gitterartige Konstruktion, an der traditionell Nutzpflanzen befestigt und in eine gewünschte Wuchsform gebracht werden können. "
UAF,Gitter
UAF,"Ein Gitter ist eine gitterförmige Anordnung länglicher Teile in gleichmäßigen Abständen, die zur Absperrung gegen Menschen, Tiere oder Fremdkörper dienen kann. "
UAG,Positionierobjekt für Gleisabstände
UAG,Gleismessgerät
UAG,Als Gleis oder Geleise wird die Fahrbahn für Schienenfahrzeuge bezeichnet. Messgeräte dienen zur Bestimmung geometrischer oder physikalischer Größen. 
UAG,Spurmessgerät
UAG,"Der Begriff Spur, von althochdeutsch spor „Fußabdruck“, bezeichnet: einen Hinweis, in der Regel in Form von Materialablagerungen oder Abdrücken, dass ein Lebewesen oder Objekt an. Messgeräte dienen zur Bestimmung geometrischer oder physikalischer Größen. "
UAH,Positionierobjekt für Werkzeug oder Werkstück
UAH,Klemme
UAH,"Klemme steht für: Klemme , deutscher Backwarenhersteller Klemme , Ort im Hancock County Wasserburg Klemme in EisenachBauteile und Instrumente: Spannmittel zum Klemmen und Aufspannen von. "
UAH,Spannfutter
